"시점","행정구역별(1)",데이터
"2000","전국(평균)",12.5
"2000","서울특별시",12.7
"2000","부산광역시",14.9
"2000","대구광역시",14.2
"2000","인천광역시",11.7
"2000","광주광역시",13.5
"2000","대전광역시",12.4
"2000","울산광역시",14.3
"2000","경기도",11.6
"2000","강원도",10.8
"2000","충청북도",11.2
"2000","충청남도",11.7
"2000","전라북도",12.0
"2000","전라남도",13.2
"2000","경상북도",12.2
"2000","경상남도",13.5
"2000","제주특별자치도",15.7
"2001","전국(평균)",12.7
"2001","서울특별시",12.8
"2001","부산광역시",15.3
"2001","대구광역시",14.8
"2001","인천광역시",11.5
"2001","광주광역시",13.8
"2001","대전광역시",13.1
"2001","울산광역시",14.6
"2001","경기도",11.4
"2001","강원도",10.8
"2001","충청북도",11.6
"2001","충청남도",12.2
"2001","전라북도",12.4
"2001","전라남도",13.5
"2001","경상북도",12.2
"2001","경상남도",13.5
"2001","제주특별자치도",15.7
"2002","전국(평균)",12.6
"2002","서울특별시",12.9
"2002","부산광역시",14.7
"2002","대구광역시",14.1
"2002","인천광역시",11.6
"2002","광주광역시",13.9
"2002","대전광역시",13.3
"2002","울산광역시",14.4
"2002","경기도",11.3
"2002","강원도",10.7
"2002","충청북도",11.5
"2002","충청남도",12.1
"2002","전라북도",12.5
"2002","전라남도",13.3
"2002","경상북도",12.0
"2002","경상남도",13.6
"2002","제주특별자치도",16.0
"2003","전국(평균)",12.5
"2003","서울특별시",12.8
"2003","부산광역시",14.3
"2003","대구광역시",13.8
"2003","인천광역시",11.3
"2003","광주광역시",13.6
"2003","대전광역시",13.2
"2003","울산광역시",14.3
"2003","경기도",11.5
"2003","강원도",10.5
"2003","충청북도",11.5
"2003","충청남도",12.0
"2003","전라북도",12.3
"2003","전라남도",13.2
"2003","경상북도",11.8
"2003","경상남도",13.5
"2003","제주특별자치도",16.3
"2004","전국(평균)",13.2
"2004","서울특별시",13.3
"2004","부산광역시",14.9
"2004","대구광역시",14.8
"2004","인천광역시",12.0
"2004","광주광역시",14.3
"2004","대전광역시",13.9
"2004","울산광역시",15.2
"2004","경기도",11.8
"2004","강원도",11.4
"2004","충청북도",12.1
"2004","충청남도",12.5
"2004","전라북도",12.7
"2004","전라남도",13.7
"2004","경상북도",12.7
"2004","경상남도",14.3
"2004","제주특별자치도",16.4
"2005","전국(평균)",12.3
"2005","서울특별시",12.1
"2005","부산광역시",13.8
"2005","대구광역시",14.2
"2005","인천광역시",11.2
"2005","광주광역시",13.6
"2005","대전광역시",12.4
"2005","울산광역시",14.3
"2005","경기도",11.1
"2005","강원도",10.4
"2005","충청북도",11.2
"2005","충청남도",11.8
"2005","전라북도",12.0
"2005","전라남도",12.9
