종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
069500,1,KODEX 200,43005,2,130,0.3,43027.0,-0.7363,2409683,103245,41672,국내,KODEX,False,False,False
153130,6,KODEX 단기채권,102845,3,0,0.0,102846.0,0.034,16993,1747,24206,파생,KODEX,False,False,False
252670,3,KODEX 200선물인버스2X,1930,5,-10,-0.52,1930.0,0.0,208047261,403732,22070,국내,KODEX,True,False,False
102110,1,TIGER 200,43020,2,85,0.2,43060.0,-0.7054,917304,39354,21575,국내,TIGER,False,False,False
102780,2,KODEX 삼성그룹,10570,2,35,0.33,10594.0,3.2033,254361,2680,18180,시장지수,KODEX,False,False,False
214980,6,KODEX 단기채권PLUS,103150,5,-10,-0.01,103151.0,0.0581,869568,89698,14314,파생,KODEX,False,False,False
122630,3,KODEX 레버리지,27990,2,125,0.45,28203.0,-2.2281,13289425,369506,13995,국내,KODEX,False,True,False
273130,6,KODEX 종합채권(AA-이상)액티브,109845,2,40,0.04,109832.0,0.8356,5949,653,13935,파생,KODEX,False,False,False
278530,1,KODEX 200TR,14065,2,50,0.36,14072.0,-0.849,24819,347,12743,국내,KODEX,False,False,False
292150,2,TIGER TOP10,14750,5,-65,-0.44,14793.0,0.4542,291636,4296,12692,시장지수,TIGER,False,False,False
371460,4,TIGER 차이나전기차SOLACTIVE,15635,5,-365,-2.28,,48.0795,9662619,150205,11833,업종/테마,TIGER,False,False,False
278540,1,KODEX MSCI Korea TR,13735,5,-5,-0.04,13771.0,-1.7168,264815,3627,11469,국내,KODEX,False,False,False
148020,1,KBSTAR 200,43080,2,130,0.3,43100.0,-0.6776,30555,1311,10705,국내,KBSTAR,False,False,False
157450,6,TIGER 단기통안채,100240,3,0,0.0,100240.0,0.0648,1446,144,10689,파생,TIGER,False,False,False
114800,3,KODEX 인버스,3765,5,-5,-0.13,3765.0,0.1328,32299879,121963,10659,국내,KODEX,True,False,False
139260,2,TIGER 200 IT,38510,5,-85,-0.22,38559.0,-4.0976,171594,6587,9250,시장지수,TIGER,False,False,False
305720,2,KODEX 2차전지산업,20800,5,-150,-0.72,20850.0,6.1619,1731884,36073,9027,시장지수,KODEX,False,False,False
152100,1,ARIRANG 200,43410,2,120,0.28,43448.0,-0.7384,77205,3338,8942,국내,ARIRANG,False,False,False
