종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2020.12),추정PERlEPS,PBRlBPS (2020.12),배당수익률,동일업종 PER,동일업종 등락률,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),PERlEPS(2021.03),PBRlBPS (2021.03),배당수익률l2020.12,PERlEPS(2021.05),PBRlBPS (2021.05),배당수익률l2020.11,PERlEPS(2020.06),PBRlBPS (2020.06)
국전약품 *,9010.0,820.0,+10.01%,8190.0,8200.0,4411311.0,38181.0,37992088.0,2021-07-30,국전약품,307750,"4,554  억원",코스닥 208위,49069269,100원  l  1주,49069269,51114,0.10%,N/A  l  N/A,"12,866  l  2,234",N/A  l  -80원,N/A  l  N/A,11.53배  l  805원,,104.30배,-1.39%,,,,,,,,,,,,,,,,,,,,,,,,
큐라클 *,39950.0,3300.0,+9.00%,37200.0,37250.0,1704769.0,67542.0,9039645.0,2021-07-30,큐라클,365270,"5,095  억원",코스닥 176위,13355968,500원  l  1주,13355968,87019,0.65%,N/A  l  N/A,"39,600  l  28,500","N/A  l  -2,624원",N/A  l  N/A,45.31배  l  842원,,104.30배,-1.36%,,,,,,,,,,,,,,,,,,,,,,,,
대웅제약,173500.0,5500.0,+3.27%,169500.0,170000.0,48820.0,8464.0,140684.0,2021-07-30,대웅제약,069620,"1조  9,813  억원",코스피 151위,11586575,"2,500원  l  1주",11586575,610972,5.27%,"3.86매수  l  201,429","286,500  l  88,200",,N/A  l  N/A,,,104.30배,-1.36%,,,,,,,,,,,,,,,,,N/A  l  -952원,"3.44배  l  49,699원",0.35%,,,,,
JW중외제약우,41700.0,800.0,+1.96%,41000.0,42000.0,27.0,1.0,312.0,2021-07-30,JW중외제약우,001065,73  억원,코스피 1490위,177486,"2,500원  l  1주",177486,532,0.30%,N/A  l  N/A,"117,088  l  28,200",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -370원,"4.54배  l  9,038원",0.85%,,,,,
카이노스메드 *,3330.0,60.0,+1.83%,3270.0,3300.0,17122.0,57.0,215564.0,2021-07-30,카이노스메드,284620,"3,462  억원",코스닥 302위,105242808,100원  l  1주,105242808,4202495,3.99%,N/A  l  N/A,"6,730  l  3,210",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -128원,34.63배  l  95원,,,,,,
대웅,37900.0,600.0,+1.61%,37600.0,37700.0,48430.0,1831.0,283692.0,2021-07-30,대웅,003090,"2조  1,832  억원",코스피 143위,58141980,500원  l  1주,58141980,2093166,3.60%,"3.00중립  l  38,000","86,700  l  20,700",,N/A  l  N/A,,,104.30배,-1.44%,3530.0,414.0,263.0,11.73,7.45,,,,,375.0,98.28,,,,,,"25.37배  l  1,480원","2.36배  l  15,897원",0.27%,,,,,
퓨쳐켐 *,16050.0,250.0,+1.58%,15800.0,16200.0,17505.0,281.0,222679.0,2021-07-30,퓨쳐켐,220100,"2,142  억원",코스닥 517위,13645971,500원  l  1주,13645971,228657,1.68%,N/A  l  N/A,"25,849  l  7,830",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,"N/A  l  -1,574원","3.65배  l  4,302원",,,,,,
더블유에스아이 *,3280.0,50.0,+1.55%,3220.0,3285.0,2402.0,8.0,30295.0,2021-07-30,더블유에스아이,299170,949  억원,코스닥 1030위,29237963,100원  l  1주,29237963,105330,0.36%,N/A  l  N/A,"5,800  l  1,975",N/A  l  -58원,N/A  l  N/A,3.63배  l  895원,,104.30배,-1.44%,,,,,,,,,,,,,,,,,,,,,,,,
안트로젠 *,78000.0,1100.0,+1.43%,77100.0,77400.0,36569.0,2815.0,526533.0,2021-07-30,안트로젠,065660,"7,227  억원",코스닥 106위,9421845,500원  l  1주,9421845,1063261,11.29%,N/A  l  N/A,"80,000  l  41,800",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -687원,"7.85배  l  9,768원",,,,,,
팜젠사이언스,11750.0,150.0,+1.29%,11600.0,11700.0,6057.0,70.0,165665.0,2021-07-30,팜젠사이언스,004720,"1,677  억원",코스피 683위,14712933,500원  l  1주,14712933,249504,1.70%,N/A  l  N/A,"33,650  l  7,380",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,"4.99배  l  2,283원","1.56배  l  7,326원",,,,,,
